Compound_1_SMILES,Compound_1_Name,Compound_1_WT%,Compound_2_SMILES,Compound_2_Name,Compound_2_WT%,Compound_3_SMILES,Compound_3_Name,Compound_3_WT%,Temperature_C,Humidity_pct,Pressure_atm,pH,StirringSpeed_rpm,ReactionTime_h,Target_Property,Sample_ID,Total_WT%,Notes
CC(=O)Oc1ccccc1C(=O)O,Aspirin,43.91,CCC1=CC(=C(C=C1)O)C=O,Vanillin,40.5,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,15.59,65.91,55.48,1.371,8.29,843.6,10.35,3.51,MIX_DBG0001,100.0,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,23.1,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,26.03,c1ccccc1,Benzene,50.87,54.91,73.59,0.907,7.15,798.7,10.88,3.373,MIX_DBG0002,100.0,Synthetic mixture data with numeric features for debugging
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,18.52,CC1=CC=CC=C1,Toluene,31.23,CCC1=CC(=C(C=C1)O)C=O,Vanillin,50.25,62.9,51.99,0.803,6.4,195.5,14.94,6.771,MIX_DBG0003,100.0,Synthetic mixture data with numeric features for debugging
CC(=O)Oc1ccccc1C(=O)O,Aspirin,23.66,CC1=CC=CC=C1,Toluene,60.56,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,15.78,40.51,65.46,1.914,8.32,976.0,4.58,5.422,MIX_DBG0004,100.0,Synthetic mixture data with numeric features for debugging
c1ccccc1,Benzene,37.31,CCC1=CC(=C(C=C1)O)C=O,Vanillin,41.01,CC(C)O,Isopropanol,21.67,60.05,50.14,1.402,4.63,638.8,10.65,6.334,MIX_DBG0005,99.99,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,58.66,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,19.66,CC(C)O,Isopropanol,21.68,70.39,37.62,0.835,5.71,465.6,18.89,6.032,MIX_DBG0006,100.0,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,39.71,CCO,Ethanol,43.22,CCC1=CC(=C(C=C1)O)C=O,Vanillin,17.08,41.05,74.66,1.156,4.65,555.6,22.17,3.022,MIX_DBG0007,100.01,Synthetic mixture data with numeric features for debugging
c1ccccc1,Benzene,21.16,CCO,Ethanol,32.57,CCC1=CC(=C(C=C1)O)C=O,Vanillin,46.27,35.67,61.98,1.533,9.2,220.2,18.24,4.668,MIX_DBG0008,100.0,Synthetic mixture data with numeric features for debugging
CC(=O)Oc1ccccc1C(=O)O,Aspirin,18.07,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,23.31,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,58.62,46.0,57.8,1.407,8.81,568.7,4.45,1.241,MIX_DBG0009,100.0,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,16.04,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,45.18,CCC1=CC(=C(C=C1)O)C=O,Vanillin,38.78,53.49,84.07,1.304,9.22,846.1,6.32,7.703,MIX_DBG0010,100.0,Synthetic mixture data with numeric features for debugging
