Compound_1_Name,Compound_1_SMILES,Compound_1_WT%,Compound_2_Name,Compound_2_SMILES,Compound_2_WT%,Compound_3_Name,Compound_3_SMILES,Compound_3_WT%,Compound_4_Name,Compound_4_SMILES,Compound_4_WT%,Pressure_atm,ReactionTime_h,Sample_ID,StirringSpeed_rpm,Target_Yield_pct,Temperature_C,pH
Aspirin,CC(=O)Oc1ccccc1C(=O)O,54.77,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,45.23,,,,,,,0.63,19.35,MIX_SMILES_NUM_0001,455,91.77,63.3,7.87
Isopropanol,CC(C)C,32.88,Aspirin,CC(=O)Oc1ccccc1C(=O)O,24.69,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,42.44,,,,2.43,5.13,MIX_SMILES_NUM_0002,307,81.66,64.4,3.12
Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,19.99,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,27.7,Acetic Acid,CC(=O)O,26.13,Benzene,c1ccccc1,26.17,0.97,10.18,MIX_SMILES_NUM_0003,957,83.71,62.0,3.45
Benzene,c1ccccc1,34.48,Isopropanol,CC(C)C,65.52,,,,,,,2.5,17.58,MIX_SMILES_NUM_0004,470,76.12,78.9,6.49
Ethanol,CCO,50.38,Benzene,c1ccccc1,49.62,,,,,,,1.81,3.9,MIX_SMILES_NUM_0005,369,58.75,83.7,7.25
Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,49.4,Ethanol,CCO,50.6,,,,,,,3.9,22.02,MIX_SMILES_NUM_0006,219,79.87,44.7,9.51
Isopropanol,CC(C)C,67.73,Cyclohexane,C1CCCCC1,32.27,,,,,,,3.38,19.19,MIX_SMILES_NUM_0007,336,83.37,92.5,9.38
Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,30.58,Ethanol,CCO,29.64,Acetic Acid,CC(=O)O,39.78,,,,0.81,0.81,MIX_SMILES_NUM_0008,447,84.69,93.0,8.24
Aspirin,CC(=O)Oc1ccccc1C(=O)O,42.2,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,39.46,Benzene,c1ccccc1,18.34,,,,2.42,6.18,MIX_SMILES_NUM_0009,141,86.18,56.6,7.11
Isopropanol,CC(C)C,13.18,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,11.03,Acetic Acid,CC(=O)O,34.71,Benzene,c1ccccc1,41.08,3.13,12.79,MIX_SMILES_NUM_0010,362,69.73,21.3,7.83
