Sample_ID,Compound_1_Name,Compound_1_SMILES,Compound_1_WT%,Compound_2_Name,Compound_2_SMILES,Compound_2_WT%,Compound_3_Name,Compound_3_SMILES,Compound_3_WT%,Compound_4_Name,Compound_4_SMILES,Compound_4_WT%,Target_BoilingPoint_C
MIX4_0001,Vanillin,CCC1=CC(=C(C=C1)O)C=O,16.2,Cyclohexane,C1CCCCC1,42.4,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,41.4,,,,148.2
MIX4_0002,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,26.85,Aspirin,CC(=O)Oc1ccccc1C(=O)O,24.61,Isopropanol,CC(C)O,22.9,Acetic Acid,CC(=O)O,25.64,196.7
MIX4_0003,Benzene,c1ccccc1,16.03,Cyclohexane,C1CCCCC1,28.86,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,11.01,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,44.09,89.1
MIX4_0004,Isopropanol,CC(C)O,18.52,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,28.14,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,26.0,Acetic Acid,CC(=O)O,27.35,66.9
MIX4_0005,Aspirin,CC(=O)Oc1ccccc1C(=O)O,35.33,Acetic Acid,CC(=O)O,32.66,Isopropanol,CC(C)O,25.4,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,6.61,87.0
MIX4_0006,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,36.68,Toluene,CC1=CC=CC=C1,63.32,,,,,,,66.7
MIX4_0007,Toluene,CC1=CC=CC=C1,37.97,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,24.45,Acetic Acid,CC(=O)O,37.58,,,,134.8
MIX4_0008,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,30.64,Toluene,CC1=CC=CC=C1,69.36,,,,,,,97.7
MIX4_0009,Benzene,c1ccccc1,22.31,Toluene,CC1=CC=CC=C1,25.42,Vanillin,CCC1=CC(=C(C=C1)O)C=O,27.21,Isopropanol,CC(C)O,25.06,73.4
MIX4_0010,Cyclohexane,C1CCCCC1,50.49,Ethanol,CCO,19.85,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,29.66,,,,156.6
MIX4_0011,Cyclohexane,C1CCCCC1,34.24,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,12.08,Acetic Acid,CC(=O)O,53.68,,,,179.9
MIX4_0012,Cyclohexane,C1CCCCC1,40.96,Benzene,c1ccccc1,19.23,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,39.81,,,,114.9
MIX4_0013,Isopropanol,CC(C)O,54.05,Vanillin,CCC1=CC(=C(C=C1)O)C=O,45.95,,,,,,,90.3
