Compound_1_SMILES,Compound_1_Name,Compound_1_WT%,Compound_2_SMILES,Compound_2_Name,Compound_2_WT%,Compound_3_SMILES,Compound_3_Name,Compound_3_WT%,Target_Property,Sample_ID,Total_WT%,Notes
CCO,Ethanol,37.37,CC1=CC=CC=C1,Toluene,49.22,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,13.41,2.716,MIX0001,100.0,Synthetic mixture data
CCO,Ethanol,22.81,CCC1=CC(=C(C=C1)O)C=O,Vanillin,42.25,CCC1=CC(=C(C=C1)O)C=O,Vanillin,34.93,4.147,MIX0002,99.99000000000001,Synthetic mixture data
c1ccccc1,Benzene,49.62,CCO,Ethanol,21.51,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,28.88,2.211,MIX0003,100.00999999999999,Synthetic mixture data
CCO,Ethanol,27.72,CCC1=CC(=C(C=C1)O)C=O,Vanillin,42.38,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,29.9,0.014,MIX0004,100.0,Synthetic mixture data
CCO,Ethanol,46.36,c1ccccc1,Benzene,37.86,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,15.78,1.759,MIX0005,100.0,Synthetic mixture data
CC1=CC=CC=C1,Toluene,39.49,CCC1=CC(=C(C=C1)O)C=O,Vanillin,18.31,CC(=O)Oc1ccccc1C(=O)O,Aspirin,42.19,2.47,MIX0006,99.99,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,47.7,CC(=O)Oc1ccccc1C(=O)O,Aspirin,12.42,CCO,Ethanol,39.87,-0.611,MIX0007,99.99000000000001,Synthetic mixture data
CC(C)O,Isopropanol,22.34,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,39.9,CC(C)O,Isopropanol,37.76,1.861,MIX0008,100.0,Synthetic mixture data
c1ccccc1,Benzene,32.92,CC(=O)Oc1ccccc1C(=O)O,Aspirin,33.22,CC(=O)Oc1ccccc1C(=O)O,Aspirin,33.86,-0.66,MIX0009,100.0,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,35.9,CC(=O)Oc1ccccc1C(=O)O,Aspirin,16.08,CC(C)O,Isopropanol,48.02,-0.218,MIX0010,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,39.29,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,33.04,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,27.67,-0.927,MIX0011,100.0,Synthetic mixture data
CC1=CC=CC=C1,Toluene,22.6,CC1=CC=CC=C1,Toluene,23.39,CCO,Ethanol,54.01,-1.441,MIX0012,100.0,Synthetic mixture data
CCO,Ethanol,21.48,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,25.73,c1ccccc1,Benzene,52.79,1.598,MIX0013,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,44.41,c1ccccc1,Benzene,11.71,CC(=O)Oc1ccccc1C(=O)O,Aspirin,43.89,2.823,MIX0014,100.00999999999999,Synthetic mixture data
CCO,Ethanol,43.59,CC(C)O,Isopropanol,28.52,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,27.89,-0.965,MIX0015,100.0,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,38.58,CC(C)O,Isopropanol,31.23,CCO,Ethanol,30.19,3.798,MIX0016,100.0,Synthetic mixture data
CCO,Ethanol,46.64,CCO,Ethanol,25.89,CC(=O)Oc1ccccc1C(=O)O,Aspirin,27.46,2.782,MIX0017,99.99000000000001,Synthetic mixture data
c1ccccc1,Benzene,30.94,CC(=O)Oc1ccccc1C(=O)O,Aspirin,55.63,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,13.43,1.657,MIX0018,100.0,Synthetic mixture data
CC(C)O,Isopropanol,62.57,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,26.9,CC(C)O,Isopropanol,10.53,0.405,MIX0019,100.0,Synthetic mixture data
CC1=CC=CC=C1,Toluene,40.33,CC1=CC=CC=C1,Toluene,47.23,CC1=CC=CC=C1,Toluene,12.44,5.627,MIX0020,100.0,Synthetic mixture data
c1ccccc1,Benzene,9.07,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,51.75,CC1=CC=CC=C1,Toluene,39.18,3.301,MIX0021,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,53.54,CC1=CC=CC=C1,Toluene,30.84,CC(C)O,Isopropanol,15.63,3.477,MIX0022,100.00999999999999,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,37.01,CCC1=CC(=C(C=C1)O)C=O,Vanillin,23.55,c1ccccc1,Benzene,39.44,0.681,MIX0023,100.0,Synthetic mixture data
c1ccccc1,Benzene,44.02,CC1=CC=CC=C1,Toluene,25.23,CCC1=CC(=C(C=C1)O)C=O,Vanillin,30.74,2.467,MIX0024,99.99,Synthetic mixture data
CCO,Ethanol,36.38,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,32.47,CC(C)O,Isopropanol,31.15,1.959,MIX0025,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,33.85,c1ccccc1,Benzene,41.16,CCC1=CC(=C(C=C1)O)C=O,Vanillin,24.99,2.319,MIX0026,99.99999999999999,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,19.88,CC(=O)Oc1ccccc1C(=O)O,Aspirin,48.51,CC(=O)Oc1ccccc1C(=O)O,Aspirin,31.61,3.829,MIX0027,100.0,Synthetic mixture data
CC1=CC=CC=C1,Toluene,9.31,CCC1=CC(=C(C=C1)O)C=O,Vanillin,55.4,CC(C)O,Isopropanol,35.29,2.43,MIX0028,100.0,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,68.81,CC(=O)Oc1ccccc1C(=O)O,Aspirin,20.32,c1ccccc1,Benzene,10.88,1.132,MIX0029,100.00999999999999,Synthetic mixture data
c1ccccc1,Benzene,30.64,CC(=O)Oc1ccccc1C(=O)O,Aspirin,28.35,CC1=CC=CC=C1,Toluene,41.01,1.229,MIX0030,100.0,Synthetic mixture data
CC(C)O,Isopropanol,25.21,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,50.82,c1ccccc1,Benzene,23.96,5.795,MIX0031,99.99000000000001,Synthetic mixture data
CC(C)O,Isopropanol,57.59,CC(C)O,Isopropanol,29.61,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,12.8,0.219,MIX0032,100.0,Synthetic mixture data
CC(C)O,Isopropanol,21.7,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,34.99,CC(=O)Oc1ccccc1C(=O)O,Aspirin,43.3,4.297,MIX0033,99.99,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,28.95,c1ccccc1,Benzene,33.49,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,37.55,3.224,MIX0034,99.99,Synthetic mixture data
CCO,Ethanol,10.81,CCC1=CC(=C(C=C1)O)C=O,Vanillin,39.48,CC1=CC=CC=C1,Toluene,49.71,-1.114,MIX0035,100.0,Synthetic mixture data
CC1=CC=CC=C1,Toluene,48.41,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,22.18,c1ccccc1,Benzene,29.41,0.863,MIX0036,100.0,Synthetic mixture data
CC(C)O,Isopropanol,30.3,CCO,Ethanol,28.12,CCC1=CC(=C(C=C1)O)C=O,Vanillin,41.58,2.772,MIX0037,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,33.88,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,28.67,CCC1=CC(=C(C=C1)O)C=O,Vanillin,37.46,1.483,MIX0038,100.01,Synthetic mixture data
CCO,Ethanol,12.74,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,57.49,CC(C)O,Isopropanol,29.77,0.801,MIX0039,100.0,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,51.76,CC(=O)Oc1ccccc1C(=O)O,Aspirin,14.69,CCO,Ethanol,33.55,3.075,MIX0040,100.0,Synthetic mixture data
c1ccccc1,Benzene,11.33,CC1=CC=CC=C1,Toluene,46.57,c1ccccc1,Benzene,42.1,-0.986,MIX0041,100.0,Synthetic mixture data
CCO,Ethanol,12.63,c1ccccc1,Benzene,37.93,CCO,Ethanol,49.44,0.071,MIX0042,100.0,Synthetic mixture data
CC(C)O,Isopropanol,40.51,c1ccccc1,Benzene,22.25,c1ccccc1,Benzene,37.23,2.205,MIX0043,99.99,Synthetic mixture data
c1ccccc1,Benzene,17.58,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,44.83,CC(C)O,Isopropanol,37.59,1.613,MIX0044,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,14.46,CC(C)O,Isopropanol,43.86,CCO,Ethanol,41.68,-0.449,MIX0045,100.0,Synthetic mixture data
CCO,Ethanol,37.89,CC(=O)Oc1ccccc1C(=O)O,Aspirin,48.3,c1ccccc1,Benzene,13.81,1.379,MIX0046,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,32.15,CCC1=CC(=C(C=C1)O)C=O,Vanillin,53.48,CC(=O)Oc1ccccc1C(=O)O,Aspirin,14.36,5.889,MIX0047,99.99,Synthetic mixture data
CCO,Ethanol,43.01,CCO,Ethanol,34.79,c1ccccc1,Benzene,22.19,1.435,MIX0048,99.99,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,25.71,CCO,Ethanol,26.56,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,47.73,4.079,MIX0049,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,31.23,CC1=CC=CC=C1,Toluene,29.45,c1ccccc1,Benzene,39.32,2.272,MIX0050,100.0,Synthetic mixture data
CCO,Ethanol,43.35,CCO,Ethanol,10.9,CCO,Ethanol,45.75,2.726,MIX0051,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,53.98,CC(=O)Oc1ccccc1C(=O)O,Aspirin,13.98,c1ccccc1,Benzene,32.04,2.741,MIX0052,100.0,Synthetic mixture data
c1ccccc1,Benzene,36.12,CC1=CC=CC=C1,Toluene,14.85,CCO,Ethanol,49.02,2.827,MIX0053,99.99000000000001,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,47.79,c1ccccc1,Benzene,21.7,CCC1=CC(=C(C=C1)O)C=O,Vanillin,30.51,1.284,MIX0054,100.0,Synthetic mixture data
