Compound_1_SMILES,Compound_1_Name,Compound_1_WT%,Compound_2_SMILES,Compound_2_Name,Compound_2_WT%,Compound_3_SMILES,Compound_3_Name,Compound_3_WT%,Target_Property,Sample_ID,Total_WT%,Notes
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,31.73,CCO,Ethanol,39.09,CC(=O)Oc1ccccc1C(=O)O,Aspirin,29.18,0.778,MIX0001,100.0,Synthetic mixture data
CC1=CC=CC=C1,Toluene,28.13,c1ccccc1,Benzene,40.18,CC(=O)Oc1ccccc1C(=O)O,Aspirin,31.68,0.769,MIX0002,99.99000000000001,Synthetic mixture data
CC1=CC=CC=C1,Toluene,31.77,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,35.88,CC(=O)Oc1ccccc1C(=O)O,Aspirin,32.35,1.464,MIX0003,100.0,Synthetic mixture data
CC1=CC=CC=C1,Toluene,34.28,CC1=CC=CC=C1,Toluene,17.03,CC(C)O,Isopropanol,48.69,1.876,MIX0004,100.0,Synthetic mixture data
CC(C)O,Isopropanol,31.14,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,48.44,CC(C)O,Isopropanol,20.42,6.293,MIX0005,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,51.78,CCO,Ethanol,14.89,CC1=CC=CC=C1,Toluene,33.32,1.354,MIX0006,99.99000000000001,Synthetic mixture data
c1ccccc1,Benzene,36.1,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,19.2,c1ccccc1,Benzene,44.7,2.395,MIX0007,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,44.12,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,44.71,CC(=O)Oc1ccccc1C(=O)O,Aspirin,11.18,-0.731,MIX0008,100.00999999999999,Synthetic mixture data
CC1=CC=CC=C1,Toluene,42.93,CCO,Ethanol,47.39,CC1=CC=CC=C1,Toluene,9.68,4.11,MIX0009,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,17.92,CCC1=CC(=C(C=C1)O)C=O,Vanillin,43.67,CC1=CC=CC=C1,Toluene,38.41,2.813,MIX0010,100.0,Synthetic mixture data
CC1=CC=CC=C1,Toluene,34.89,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,31.04,CC1=CC=CC=C1,Toluene,34.06,1.682,MIX0011,99.99000000000001,Synthetic mixture data
CC(C)O,Isopropanol,36.78,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,27.96,CC(=O)Oc1ccccc1C(=O)O,Aspirin,35.26,3.951,MIX0012,100.0,Synthetic mixture data
CC(C)O,Isopropanol,31.27,CC1=CC=CC=C1,Toluene,37.96,CC1=CC=CC=C1,Toluene,30.77,-0.024,MIX0013,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,20.31,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,29.53,CCC1=CC(=C(C=C1)O)C=O,Vanillin,50.16,-1.945,MIX0014,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,31.31,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,50.99,CC1=CC=CC=C1,Toluene,17.69,-1.028,MIX0015,99.99,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,44.88,CCC1=CC(=C(C=C1)O)C=O,Vanillin,34.71,CC(C)O,Isopropanol,20.41,3.174,MIX0016,100.0,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,21.29,CC(C)O,Isopropanol,48.79,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,29.92,3.172,MIX0017,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,20.5,CC(=O)Oc1ccccc1C(=O)O,Aspirin,18.18,CC(=O)Oc1ccccc1C(=O)O,Aspirin,61.32,-0.465,MIX0018,100.0,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,45.71,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,20.02,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,34.27,1.287,MIX0019,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,47.45,CCO,Ethanol,26.47,CC(C)O,Isopropanol,26.07,4.789,MIX0020,99.99000000000001,Synthetic mixture data
c1ccccc1,Benzene,42.81,CCO,Ethanol,22.37,CC(C)O,Isopropanol,34.82,0.243,MIX0021,100.0,Synthetic mixture data
CCO,Ethanol,31.23,CC1=CC=CC=C1,Toluene,52.81,CC(C)O,Isopropanol,15.96,0.073,MIX0022,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,35.95,CC(C)O,Isopropanol,35.35,CCO,Ethanol,28.7,1.735,MIX0023,100.00000000000001,Synthetic mixture data
CC(C)O,Isopropanol,12.67,CCC1=CC(=C(C=C1)O)C=O,Vanillin,35.36,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,51.96,1.787,MIX0024,99.99000000000001,Synthetic mixture data
CCO,Ethanol,18.66,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,24.77,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,56.57,1.878,MIX0025,100.0,Synthetic mixture data
CCO,Ethanol,15.67,CC(=O)Oc1ccccc1C(=O)O,Aspirin,47.53,c1ccccc1,Benzene,36.8,3.847,MIX0026,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,18.83,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,49.96,CC1=CC=CC=C1,Toluene,31.21,6.558,MIX0027,100.0,Synthetic mixture data
CCO,Ethanol,34.37,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,16.9,CC(C)O,Isopropanol,48.73,-2.365,MIX0028,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,27.31,CC1=CC=CC=C1,Toluene,27.73,CC1=CC=CC=C1,Toluene,44.96,0.929,MIX0029,100.0,Synthetic mixture data
CCO,Ethanol,36.73,CC(=O)Oc1ccccc1C(=O)O,Aspirin,33.54,CC1=CC=CC=C1,Toluene,29.73,5.011,MIX0030,100.0,Synthetic mixture data
