Compound_1_SMILES,Compound_1_Name,Compound_1_WT%,Compound_2_SMILES,Compound_2_Name,Compound_2_WT%,Compound_3_SMILES,Compound_3_Name,Compound_3_WT%,Temperature_C,Humidity_pct,Pressure_atm,pH,StirringSpeed_rpm,ReactionTime_h,Target_Property,Sample_ID,Total_WT%,Notes
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,55.99,CC(C)O,Isopropanol,34.44,CCC1=CC(=C(C=C1)O)C=O,Vanillin,9.57,37.38,69.85,1.276,6.29,355.6,0.89,3.138,MIX_DBG0001,100.0,Synthetic mixture data with numeric features for debugging
CC1=CC=CC=C1,Toluene,60.84,c1ccccc1,Benzene,23.86,c1ccccc1,Benzene,15.3,52.28,35.93,1.058,8.75,373.2,2.06,2.391,MIX_DBG0002,100.0,Synthetic mixture data with numeric features for debugging
CC(C)O,Isopropanol,37.19,CC1=CC=CC=C1,Toluene,14.74,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,48.08,43.74,44.75,1.945,8.58,578.1,13.94,2.715,MIX_DBG0003,100.00999999999999,Synthetic mixture data with numeric features for debugging
CC1=CC=CC=C1,Toluene,44.34,CC(=O)Oc1ccccc1C(=O)O,Aspirin,16.85,CCC1=CC(=C(C=C1)O)C=O,Vanillin,38.81,32.45,54.52,1.952,7.83,552.7,9.84,2.939,MIX_DBG0004,100.0,Synthetic mixture data with numeric features for debugging
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,35.47,CCO,Ethanol,54.57,CCC1=CC(=C(C=C1)O)C=O,Vanillin,9.95,33.3,62.94,1.86,9.34,599.3,6.02,1.289,MIX_DBG0005,99.99,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,42.53,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,33.4,CCC1=CC(=C(C=C1)O)C=O,Vanillin,24.08,30.11,36.98,1.82,6.08,955.0,1.51,2.44,MIX_DBG0006,100.01,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,10.22,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,45.09,CCO,Ethanol,44.69,43.76,78.15,1.771,9.01,902.9,10.11,4.269,MIX_DBG0007,100.0,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,42.67,CC(=O)Oc1ccccc1C(=O)O,Aspirin,14.82,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,42.52,79.34,54.03,1.017,7.27,820.2,8.02,5.274,MIX_DBG0008,100.01,Synthetic mixture data with numeric features for debugging
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,18.03,CC(=O)Oc1ccccc1C(=O)O,Aspirin,37.79,CCO,Ethanol,44.18,38.25,37.86,1.289,6.2,448.2,7.69,0.579,MIX_DBG0009,100.0,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,33.39,CCO,Ethanol,29.62,CCC1=CC(=C(C=C1)O)C=O,Vanillin,36.99,38.16,36.1,1.816,5.06,447.4,19.28,4.184,MIX_DBG0010,100.0,Synthetic mixture data with numeric features for debugging
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,61.62,CC(=O)Oc1ccccc1C(=O)O,Aspirin,24.73,CCO,Ethanol,13.65,55.38,54.5,1.197,5.45,245.8,16.8,6.359,MIX_DBG0011,100.0,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,31.64,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,40.46,CC1=CC=CC=C1,Toluene,27.9,44.15,86.59,1.787,9.83,404.5,11.9,2.535,MIX_DBG0012,100.0,Synthetic mixture data with numeric features for debugging
CC(C)O,Isopropanol,47.02,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,28.46,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,24.52,57.15,76.09,1.689,4.83,685.5,10.16,0.784,MIX_DBG0013,100.0,Synthetic mixture data with numeric features for debugging
c1ccccc1,Benzene,22.45,CC(C)O,Isopropanol,39.98,CC1=CC=CC=C1,Toluene,37.57,28.77,31.68,1.856,8.12,712.6,6.12,2.075,MIX_DBG0014,100.0,Synthetic mixture data with numeric features for debugging
CC(C)O,Isopropanol,46.24,CC(C)O,Isopropanol,33.46,CC(=O)Oc1ccccc1C(=O)O,Aspirin,20.31,67.28,55.31,1.205,5.04,784.1,12.99,1.474,MIX_DBG0015,100.01,Synthetic mixture data with numeric features for debugging
c1ccccc1,Benzene,46.39,CC1=CC=CC=C1,Toluene,41.67,CC1=CC=CC=C1,Toluene,11.94,38.38,52.36,1.483,5.43,147.5,5.84,4.633,MIX_DBG0016,100.0,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,29.19,CCC1=CC(=C(C=C1)O)C=O,Vanillin,37.0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,33.81,70.89,59.28,1.233,6.64,954.1,13.57,3.388,MIX_DBG0017,100.0,Synthetic mixture data with numeric features for debugging
